M  	dmean
792	65.166
793	64.427
794	64.7956
795	64.2962
796	66.606
797	68.3191
798	65.6614
799	65.1606
800	63.9576
801	62.4909
802	67.5567
803	66.2836
804	65.9222
805	66.3872
806	66.6803
807	66.0387
808	64.9595
809	63.0405
810	66.232
811	66.4176
812	66.317
813	66.5077
814	67.6861
815	67.6532
816	67.1001
817	65.3576
818	66.9663
819	65.3106
820	63.4991
821	65.7573
822	62.3395
823	63.9761
824	66.188
825	63.6265
826	65.3683
827	66.5621
828	66.9248
829	64.3221
830	63.2392
831	64.831
832	65.761
833	63.7987
834	68.1124
835	66.7332
836	65.717
837	65.9212
838	63.8721
839	65.758
840	67.2657
841	68.3816
842	68.6475
843	67.1492
844	66.0081
845	65.9996
846	69.9399
847	63.8742
848	67.3553
849	69.5002
850	66.6245
851	67.5906
852	64.7611
853	63.9613
854	65.7964
855	70.5368
856	66.7177
857	64.1418
858	66.2073
859	68.0582
860	65.2682
861	66.5451
862	66.8177
863	66.9081
864	66.905
865	66.9645
866	65.4725
867	67.4957
868	68.1559
869	66.8102
870	67.1336
871	69.1095
872	68.5492
873	67.7625
874	67.624
875	65.2784
876	65.2192
877	67.0139
878	67.6158
879	65.2715
880	64.4697
881	64.2214
882	65.1026
883	65.5511
884	65.0097
885	66.4578
886	67.264
887	67.4703
888	66.5604
889	64.8341
890	64.0759
891	66.8442
892	68.1744
893	67.4438
894	65.744
895	65.4848
896	65.4047
897	67.3556
898	66.1966
899	65.3418
900	66.462
901	64.8692
902	69.2829
903	64.6651
904	65.545
905	66.1091
906	64.4891
907	65.1618
908	62.7113
909	63.2527
910	64.7533
911	65.3984
912	65.5261
913	66.7725
914	65.9796
915	66.555
916	66.6832
917	68.3698
918	68.9736
919	65.9099
920	64.1232
921	63.4775
922	65.2582
923	66.2585
924	67.0073
925	67.7066
926	67.5255
927	64.8896
928	66.5684
929	66.4775
930	65.9081
931	64.9208
932	64.9242
933	67.2002
934	66.4446
935	68.0058
936	65.6605
937	66.0937
938	66.4815
939	66.3424
940	66.5808
941	66.3693
942	64.5502
943	65.7874
944	64.9549
945	65.6627
946	66.4025
947	66.2675
948	66.5998
949	65.3529
950	69.0717
951	64.7684
952	67.3913
953	67.2425
954	67.3456
955	68.1769
956	67.4033
957	67.9762
958	61.8323
959	64.3352
960	65.1749
961	65.7566
962	66.553
963	67.4654
964	67.511
965	65.8935
966	64.5261
967	64.5994
968	66.6069
969	66.3044
970	65.988
971	66.1634
972	66.7072
973	66.9594
974	66.6242
975	66.0854
976	65.531
977	69.9118
978	65.5654
979	65.0701
980	66.018
981	66.0602
982	66.3899
983	64.9093
984	63.9237
985	66.6763
986	67.1024
987	67.9085
988	69.4901
989	65.8184
990	65.3605
991	65.4171
992	66.0597
993	66.3244
994	66.6871
995	67.3473
996	68.1256
997	68.3011
998	67.0316
999	66.4367
1000	65.8971
